ID,post_content
52000,"<p>""This won't hurt, I promise.""</p>
"
52001,"<p>1. I would not allow this employee to breed.<br /> 2. This associate is really not so much of a has-been, but more definitely a won�t be.<br /> 3. Works well when under constant supervision and cornered like a rat in a trap.<br /> 4. When she stops to open her mouth, it seems it is only to change whichever foot was previously there.<br /> 5. He would be out of his depth in a parking lot puddle.<br /> 6. This young lady has delusions of adequacy.<br /> 7. He sets low personal standards and then consistently fails to achieve them.<br /> 8. This employee is depriving a village somewhere of an idiot.<br /> 9. This employee should go far and sooner he starts, the better.<br /> 10. Not the sharpest knife in the drawer.<br /> 11. The biggest tool in the shed.<br /> 12. Got into the gene pool when the lifeguard wasn�t looking.<br /> 13. A room temperature IQ.<br /> 14. Got a full 6-pack, but lacks the plastic thingy to hold it together.<br /> 15. A gross ignoramus - 144 times worse than an ordinary ignoramus.<br /> 16. A photographic memory but with the lens cover glued on.<br /> 17. A prime candidate for natural deselection.<br /> 18. One-celled organisms outscore him in IQ tests.<br /> 19. Donated his brain to science before he was done using it.<br /> 20. Fell out of the family tree.<br /> 21. Bright as Alaska in December.<br /> 22. Gates are down, lights are flashing, but the train isn�t coming.<br /> 23. Has two brains: one is lost; and the other is looking for it.<br /> 24. If brains were taxed she would get a refund.<br /> 25. If he were any more stupid, he would have to be watered twice a week.<br /> 26. He�s so dense light bends around him.<br /> 27. If you gave him a penny for his thoughts you would get change.<br /> 28. If you stand close enough to him, you can hear the ocean.<br /> 29. It�s hard to believe he beat out 1,000,000 other sperm.<br /> 30. One neuron short of a synapse.<br /> 31. Takes him an hour and a half to watch 60 minutes.<br /> 32. Some drink from the fountain of knowledge, he only gargled.<br /> 33. Wheel is turning, but the hamster is dead.<br /> 34. Since my last report, this employee has reached rock bottom and has started to dig.<br /> 35. His men would follow him anywhere, but only out of mobid curiosity.</p>
"
52002,"<p>A man went into the proctologist's office for his first exam. The doctor told him to have a seat in the examination room and that he would be with him in just a few minutes. Well, when the man sat down in the examination room, he noticed that there were three items on a stand next to the doctor's desk: a tube of K-Y jelly, a rubber glove, and a beer.When the doctor came in, the man said, ""Look Doc, this is my first exam... I know what the K-Y is for... and I know what the glove is for...but what's the BEER for?""At this instant, the doctor became noticeably outraged and stormed over to the door. The doc flung the door open and yelled to his nurse, ""Dammit, nurse!!! I said a BUTT LIGHT!!!""</p>
"
52003,"<p>What did the elephant say to the naked man?</p>
<p>""How do you breathe through that thing?""</p>
<p>Submitted by Calamjo<br /> Edited by Curtis</p>
"
52004,"<p>Did you hear about the dyslexic Satanist? He sold his soul to SantaDid you hear about the guy that lost his left arm and leg in a car crash? He's all right now.How do crazy people go through the forest? They take the psycho path.How do you get holy water? Boil the hell out of it.How does a spoiled rich girl change a light bulb? She says, 'Daddy, I want a new apartment.'What did the fish say when he hit a concrete wall? 'Dam'.What do Eskimos get from sitting on the ice too long? Polaroids.What do prisoners use to call each other? Cell phones.What do the letters D.N.A. stand for? National Dyslexics Association.What do you call a boomerang that doesn't work? A stick.What do you call cheese that isn't yours? Nacho Cheese.What do you call Santa's helpers? Subordinate Clauses.What do you call four bull fighters in quicksand? Quatro sinko.What do you get from a pampered cow? Spoiled milk.What do you get when you cross a snowman with a vampire? Frostbite.What do you get when you cross an elephant and a skin doctor? A pachydermatologistWhat has four legs, is big, green, fuzzy, and if it fell out of a tree  would kill you? A pool table.What is a zebra? 26 sizes larger than an 'A' bra.What kind of coffee was served on the Titanic? Sanka. ....and what kind of lettuce? Iceberg.What lies at the bottom of the ocean and twitches? A nervous wreck.What's the difference between an oral thermometer and a rectal  thermometer? The taste.What's the difference between roast beef and pea soup? Anyone can roast beef.Where do you get virgin wool from? Ugly sheep.Why are there so many Smiths in the phone book? They all have phones.Why do bagpipers walk when they play? They're trying to get away from the noise.</p>
"
52005,"<p>Q: How many gardeners does it take to change a lightbulb?A:  Just one. The new light bulbs are just as easy to change as the older, heavier ones.</p>
"
52006,"<p>What are the 2 ways Blondes and dogs are the same?</p>
<p>They can both bleed for a week without dying and bury a bone without getting there nose dirty.</p>
"
52007,"<p>How many babies does it take to screw in a lightbulb?</p>
<p>What's a lightbulb?</p>
"
52008,"<p>There is this guy who walks into a bar and notices a man 12 inches tall<br /> playing the piano. He asks what it is all about and </p>
<p>the barman tells him he'll tell him later. </p>
<p>So he asks the barman for a drink and the barman says,<br /> 'Before you get your drink you get to rub the magic beer bottle and make a<br /> wish.'</p>
<p>'OK,' says the guy. </p>
<p>He goes to the bottle and rubs it and, boom, out comes a genie, who says,<br /> 'You have one wish.'</p>
<p>The man thinks about it and then wishes for a million bucks. A cloud of smoke<br /> fills the room and when the smoke clears there </p>
<p>are a million ducks crowding the bar.</p>
<p>He tells the barman,<br /> 'Hey, I didn't want a million ducks.'</p>
<p>The barman replies, 'You think I wanted a 12-inch pianist?'</p>
"
52009,"<p>A witness to an automobile accident was testifying. The lawyer asked him, ""Did<br /> you actually see the accident?""<br /> The witness: ""Yes, sir.""</p>
<p>The lawyer: ""How far away were you when the accident happened?""<br /> The witness: ""Thirty-one feet, six and one quarter inches.""</p>
<p>The lawyer (thinking he'd trap the witness): ""Well, sir, will you tell the<br /> jury how you knew it was exactly that distance?""<br /> The witness: ""Because when the accident happened I took out a tape and<br /> measured it. I knew some annoying lawyer would ask me that question.""</p>
"
52010,"<p>Lending A Hand </p>
<p>Two junior co-eds went to the movies one night. , </p>
<p>The first girl said""Whatshould I do? The </p>
<p>guy sitting next to me is masturbating."" </p>
<p>Her friend replied, ""Don't do </p>
<p>anything. Just ignore it."" </p>
<p>The first girl said, ""I can't."" </p>
<p>Her friendsaid,""Why can'tyou ignore it?"" </p>
<p>The first one says, ""Because he's using </p>
<p>myhand!""</p>
"
52011,"<p>Yo mama so poor that when I rang her doorbell, she yelled, ""Ding Dong!""</p>
"
52012,"<p>Your mamma is so dumb she stole free bread.  Your momma is so big she put a blanket over the ocean and called it a water bed.</p>
"
52013,"<p>Un matrimonio fue invitado a una fiesta de m�scaras y disfraces. A ella le dol�a much�simo la cabeza y le pide al marido que se vaya solo.</p>
<p>�l protest�, pero ella le dijo que se iba a tomar una aspirina e irse a la cama, por lo que no hab�a necesidad de que �l se quedara en la casa. As� que el marido se puso el disfraz y se fue.</p>
<p>La mujer, despu�s de dormir una hora, se despert� bien, sin dolor. Como era temprano decidi� ir a la fiesta. Y como el marido no sab�a cu�l era su disfraz, ella pens� que ser�a divertido observar como actuaba �l cuando estaba solo.</p>
<p>Ella lleg� a la fiesta y enseguida vio al marido bailando en la pista con cada chica con la que se cruzaba, tocando un poco por ac� y tirando besitos por all�. La esposa se le acerc� y empez� a seducirlo. �l dej� a la mujer con la que estaba y se dedic� a la reci�n llegada. Ella lo dej� avanzar todo lo que �l quisiera: finalmente era su marido.</p>
<p>En un momento, �l le susurr� una proposici�n en el o�do y ella acept�.</p>
<p>Salieron de la fiesta y en uno de los autos tuvieron sexo. A medianoche, antes de desenmascararse, la se�ora se escabull�, fue a su casa, se quit� el disfraz y se meti� en la cama, pregunt�ndose qu� clase de explicaci�n le iba a dar el marido.</p>
<p>Cuando �l entr�, ella estaba sentada en la cama, leyendo.</p>
<p>""�C�mo te fue?"", le pregunt�.</p>
<p>""Bueno, lo de siempre"", dijo �l. ""Ya sabes que no la paso bien cuando no estoy contigo"".</p>
<p>""�Bailaste mucho?""</p>
<p>""Ni una sola pieza. Cuando llegu�, me encontr� con Pedro, Guillermo y otros muchachos, as� que nos fuimos a la planta alta y jugamos p�ker toda la noche. �Lo que no me vas a poder creer es lo que le pas� al tipo al que le prest� mi disfraz!""</p>
"
52014,"<p>I stopped in at the local gas station for something to drink and<br /> when I approached the register, the employee promply asked me,<br /> ""Do you have gas?"" I answered him with a puzzled look on my<br /> face. ""Isn't that a rather personal question?""</p>
"
52015,"<p>10.Keeps confusing Paula Jones with John Paul Jones. </p>
<p>9.Close friends with Siegfried, hardly speaks to Roy. </p>
<p>8.Wants to rename the US ""Hilaryland."" </p>
<p>7.Favorite book: ""How to Get Along With Everyone,"" by Marge Shott. </p>
<p>6.The Health Care Plan? Roger's. </p>
<p>5.Has never seen identifying marks in Bill's pants. </p>
<p>4.Chelsea originally named ""Socks."" </p>
<p>3.Also requested women from Arkansas State Troopers. </p>
<p>2.Keeps Bill's genitals in a little glass jar on her dresser. </p>
<p>1.Loves cattle; hates Flowers.</p>
"
52016,"<p>Down in Arkansas, they say that custom has changed little.<br /> Many a man still sleeps with a battle-axe by his side.</p>
"
52017,"<p>Q: What did the blonde say to the physicist?A: ""Why, I just love nuclear fission!  What do you use for bait?""</p>
"
52018,"<p>Two gas company servicemen, a senior training supervisor and a young trainee, were out checking meters in a suburban neighbourhood. They parked their truck the end of the alley and worked their way to the other end. At the last house a woman looking out her kitchen window watched the two men as they checked her gas meter. Finishing the meter check, the senior supervisor challenged his younger co-worker to a foot race down the alley back to the truck to prove that an older guy could outrun a younger one. As they came running up to the truck, they realised the lady from that last house was huffing and puffing right behind them. They stopped and asked her what was wrong. Gasping for breath, she replied, ""When I see two gas men running as hard as you two were, I figured I'd better run too!""</p>
"
52019,"<p>Three women were talking about their love lives. The first said, 'My husband is like a Rolls-Royce; smooth and sophisticated.' The second said, 'Mine is like a porsche; fast and powerful.' The third said, 'Mine is like an old Chevy. It needs a hand start and I have to jump on while it's still going.'</p>
"
52020,"<p>Two blondes were waiting for their buses. One of them was waiting for the bus number one and the other one for the bus number seven. In the meantime, the bus number seventeen came. One of them exclaimed: ""Oh, great! Now we can go together!""</p>
"
52021,"<p>An ingenious instrument which indicates what kind of<br /> weather we are having.</p>
"
52022,"<p>Un alto funcionario del Fondo Monetario Internacional est� por llegar a un pa�s latinoamericano a revisar cuentas fiscales. Era un d�a lluvioso, y el Presidente y su Ministro de Econom�a estaban en el aeropuerto a su espera. Ambos decidieron subirse las botamangas de sus pantalones para evitar moj�rselos. El avi�n desciende y ambos emprenden su marcha hacia el pie de la escalerilla para saludar al visitante. En ese momento el Ministro de Econom�a nota que el Presidente no volvi� a su lugar las botamangas de su pantanl�n:</p>
<p>""Se�or Presidente, ya viene el funcionario. B�jase los pantalones.""</p>
<p>""�Tanto le debemos?""</p>
"
52023,"<p>Q: What is the best Iraqi job?<br /> A: Foreign Ambassador</p>
"
52024,"<p>This guy went to hospital for a circumcision, but because of a mix up, he ended up having a complete sex change.All of the doctors and nurses had gathered around his bed as he was waking up so they could give him the bad news.Naturally, the poor guy went to pieces and started crying when they explained what had happened to him. ""Oh no!"" he moaned, ""this means I'll never be able to experience an erection ever again!""""Of course you will,"" one of the doctors soothed. It'll just have to be someone else's, that's all.""</p>
"
52025,"<p>A priest settled into a chair in a lawyer's office. ""Is it true,"" said the Priest, ""that your firm does not charge members of the clergy?"" ""I'm afraid you're misinformed,"" stated the lawyer, ""People in your profession can look forward to a reward in the next world, but we lawyers have to take ours in this one.""</p>
"
52026,"<p>On preparing to return home from an out of town trip, a man got a small puppy as a present for his son. Not having time to get the paperwork to take the puppy on board, the man just hid the pup down the front of his pants and snuck him on board the airplane. About 30 minutes into the trip, a stewardess noticed the man shaking and quivering. ""Are you okay, sir?"" asked the stewardess ""Yes, I'm fine,"" said the man. Later, the stewardess noticed the man moaning and shaking again. ""Are you sure you're alright sir?"" ""Yes,"" said the man, ""but I have a confession to make. I didn't have time to get the paperwork to bring a puppy on board, so I hid him down the front of my pants."" ""What's wrong?"" asked the stewardess. ""Is he not housebroken?"" ""No, that's not the problem. The problem is he's not weaned yet!""</p>
"
52027,"<p>What do you call a chicken that crosses the road, rolls in dirt, and then comes back?</p>
<p>A dirty double crosser. </p>
<p>Submitted by Curtis<br /> Edited by Yisman</p>
"
52028,"<p>The Smiths had no children and decided to use a proxy father to start their family. On the day the proxy father was to arrive, Mr.Smith kissed his wife and said, ''I'm off. The man should be here soon''. Half an hour later, just by chance, a door-to-door baby photographer rang the doorbell, hoping to make a sale. ''Good morning madam. You don't know me but I've come to....'' ''Oh, no need to explain. I've been expecting you,'' Mrs. Smith cut in. ''Really?'' the photographer asked. ''Well, good! I've made a specialty of babies.'' ''That's what my husband and I had hoped. Please come in and have a seat. Just where do we start?'' asked Mrs. Smith, blushing. ''Leave everything to me. I usually try two in the bathtub, one on the couch and perhaps a couple on the bed. Sometimes the living room floor is fun too; you can really spread out.'' ''Bathtub, living room floor? No wonder it didn't work for Harry and me.'' ''Well, madam, none of us can guarantee a good one every time. But if we try several different positions and I shoot from six or seven angles, I'm sure you'll be pleased with the results.'' ''I hope we can get this over with quickly,'' gasped Mrs. Smith. ''Madam, in my line of work, a man must take his time. I'd love to be in and out in five minutes, but you'd be disappointed with that, I'm sure.'' ''Don't I know!!'', Mrs. Smith exclaimed. The photographer opened his briefcase and pulled out a portfolio of his baby pictures. ''This was done on the top of a bus in downtown London.'' ''Oh my god!!'', Mrs. Smith exclaimed, tugging at her handkerchief.''And these twins turned out exceptionally well when you consider their mother was so difficult to work with.'' The photographer handed Mrs. Smith the picture. ''She was difficult?'' asked Mrs. Smith. ''Yes, I'm afraid so. I finally had to take her to Hyde Park to get the job done right. People were crowding around four and five deep, pushing to get a good look.'' ''Four and five deep?'' asked Mrs. Smith, eyes widened in amazement. ''Yes'', the photographer said. ''And for more than three hours too. The mother was constantly squealing and yelling. I could hardly concentrate. Then darkness approached and I began to rush my shots. Finally, when the squirrels began nibbling on my equipment, I just packed it all in.'' Mrs. Smith leaned forward. ''You mean they actually chewed on your, eh...equipment?'' ''That's right. Well madam, if you're ready, I'll set up my tripod so that we can get to work.'' ''Tripod??'', Mrs. Smith looked extremely worried now. ''Oh yes, I have to use a tripod to rest my Canon on. It's much too big for me to hold while I'm getting ready for action. Madam? Madam?..... Good Lord, she's fainted!!''</p>
"
52029,"<p>A man takes his dog for a walk in the park. While he's there, he runs in to his old friend. </p>
<p>The two men stop to talk and the dog just plops right down and starts licking his balls. </p>
<p>The friend sees this and says, ""Man, I sure wish I could do that."" </p>
<p>The dog owner says, ""Go ahead, but pat him a little bit first."" </p>
<p>Submitted by calamjo<br /> Edited by curtis</p>
"
52030,"<p>PAUL REVERE'S MOTHER: ""I don't care where you think you have to go, young man. Midnight is past your curfew!""MARY, MARY, QUITE CONTRARY'S MOTHER: ""I don't mind you having a garden, Mary, but does it have to be growing under your bed?""MONA LISA'S MOTHER: ""After all that money your father and I spent on braces, Mona, that's the biggest smile you can give us?""HUMPTY DUMPTY'S MOTHER: ""Humpty, If I've told you once, I've told you a hundred times not to sit on that wall. But would you listen to me? Noooo!""COLUMBUS' MOTHER: ""I don't care what you've discovered, Christopher. You still could have written!""BABE RUTH'S MOTHER: ""Babe, how many times have I told you -- quit playing ball in the house! That's the third broken window this week!""MICHELANGELO'S MOTHER: ""Mike, can't you paint on walls like other children? Do you have any idea how hard it is to get that stuff off the ceiling?""NAPOLEON'S MOTHER: ""All right, Napoleon. If you aren't hiding your report card inside your jacket, then take your hand out of there and prove it!""CUSTER'S MOTHER: ""Now, George, remember what I told you -- don't go biting off more than you can chew!""ABRAHAM LINCOLN'S MOTHER: ""Again with the stovepipe hat, Abe? Can't you just wear a baseball cap like the other kids?""BARNEY'S MOTHER: ""I realize strained plums are your favorite, Barney, but you're starting to look a little purple.""MARY'S MOTHER: ""I'm not upset that your lamb followed you to school, Mary, but I would like to know how he got a better grade than you.""BATMAN'S MOTHER: ""It's a nice car, Bruce, but do you realize how much the insurance is going to be?""GOLDILOCKS' MOTHER: ""I've got a bill here for a busted chair from the Bear family. You know anything about this, Goldie?""LITTLE MISS MUFFET'S MOTHER: ""Well, all I've got to say is if you don't get off your tuffet and start cleaning your room, there'll be a lot more spiders around here!""ALBERT EINSTEIN'S MOTHER: ""But, Albert, it's your senior picture. Can't you do something about your hair? Styling gel, mousse, something...?""GEORGE WASHINGTON'S MOTHER: ""The next time I catch you throwing money across the Potomac, you can kiss your allowance good-bye!""JONAH'S MOTHER: ""That's a nice story, but now tell me where you've really been for the last three days.""SUPERMAN'S MOTHER: ""Clark, your father and I have discussed it, and we've decided you can have your own telephone line. Now will you quit spending so much time in all those phone booths?"" And finally....THOMAS EDISON'S MOTHER: ""Of course I'm proud that you invented the electric light bulb, Thomas. Now turn off that light and get to bed!""</p>
"
52031,"<p>During camouflage training in Louisiana, a private disguised as a tree trunk makes a sudden move and is spotted by the general. </p>
<p>�You simpleton!� the officer barks. �Don�t you know that by jumping the way you did, you could have endangered the lives of the entire company?�</p>
<p>�Yes, sir,� the soldier answers. �But, if I may say so, I stood still when a flock of pigeons used me for target practice, and I never moved an inch when a dog peed on my trunk. </p>
<p>But when two squirrels ran up my pants and I heard one say, �Let�s eat one now and save the other till winter,� that did it!�</p>
<p>Submitted by ���rt��<br /> Edited by yisman</p>
"
52032,"<p>What do you call a Lesbian Eskimo?A Klondike</p>
"
52033,"<p>Two drunks were trying to figure out how to get some alcohol for free. </p>
<p>They only had a dollar in change between them. ""I've got it, follow Me."" said<br /> the first man. </p>
<p>They went to a hot dog stand and bought a dog and threw away the bun. ""We'll<br /> go into a bar and order drinks, and when the </p>
<p>Bartender asks for money, I'll unzip my fly and pull out the hot dog. You drop<br /> to your knees and pretend to suck me off."" </p>
<p>The second man agrees to this and they start their rounds.</p>
<p>When they get to the bar, they sit down and have a beer. </p>
<p>The bartender tells them, ""That will be 3 dollars�.</p>
<p>The first man stands up and unzips his fly. The second man drops to his knees<br /> and starts sucking on the hot-dog. </p>
<p>""You faggots�, screams the bartender. ""Get the hell out of here!"" </p>
<p>They run out and go to another bar and order drinks and when the bartender<br /> asks for money, the first man unzips his fly, and </p>
<p>The second man drops to his knees. </p>
<p>The bartender throws them out. </p>
<p>After the sixth bar the second man complains, ""Man this isn't working out so<br /> well, my knees are killing me!""</p>
<p>""You think you've had it bad�, the first man exclaims. ""I lost the hotdog 4<br /> bars ago!""</p>
"
52034,"<p>How do you know that a blonde was using the computer?there is white out on the screenHow do you know that another blonde was using that computer?there is writing over the white outHow do you know that a third blonde was using the computer?the joystick is wet</p>
"
52035,"<p>15&gt; ""Say my name, dwarf!""</p>
<p>14&gt; ""Look, Sam, my name isn't *Mr.* Frodo -- it's Frodo. Mr. Baggins if you're nasty.""</p>
<p>13&gt; ""You had me at 'Aiya vanima.'""</p>
<p>12&gt; ""Nice work killing that Orc, faithful friend, but still it twitches.  Slay it again, Sam!""</p>
<p>11&gt; ""I.  Don't.  Like.  The.  Leggings.  Drying.  On.  The.  Rod!""</p>
<p>10&gt; ""It don't mean a thing if you ain't got that ring... doo-wah-tee-wah, doo-wah-tee-wah, doo-wah-tee-wah!""</p>
<p> 9&gt; ""Brethren of Gondor, we are gathered here to join Arwen Evenstar and Aragorn, son of Arathorn, in holy matrimony. Frodo, do you have the ring?""</p>
<p> 8&gt; ""Elvens have left the building.""</p>
<p> 7&gt; ""Attention, audience: Fair Arwen is speaking, so you may all relax, as nothing important will take place.  The next 10 minutes would be an excellent time to go pee.""</p>
<p> 6&gt; ""Legolas my Eggolas!""</p>
<p> 5&gt; ""Go not by that path, Aragorn!  For my young companion Osment sees dead people!""</p>
<p> 4&gt; ""Smeagol, do you like movies about gladiators?""</p>
<p> 3&gt; ""You sure you ain't never been just a wee bit curious, Mr. Frodo?""</p>
<p> 2&gt; ""Ha!  Let the dark armies of Saruman come!  It would take an entire brigade of giant mutant four-tusked elephants to conquer our...  well, son of a bitch!""</p>
<p> 1&gt; ""Run, forest, run!""</p>
<p>             [  The Top 5 List   www.topfive.com  ]<br />              [   Copyright 2004 by Chris White    ]</p>
"
52036,"<p>What is very very flat?</p>
<p>A white womans ass.</p>
"
52037,"<p>One day there was a knock on the Pope's office door.</p>
<p>When he answered it, the salesman said, ""Hello, my management team would like to discuss a proposal with you."" After taking a seat in his office, the salesman said, ""I am with Kentucky Fried Chicken. We would like to offer you a contract to the church if you can change the Lord's blessing from 'Give us this day our daily bread' to 'daily chicken'.""</p>
<p>The Pope said, ""I'm sorry we just cannot do that."" The salesman went back to his office where he discussed the outcome of the meeting. </p>
<p>He returned to the Pope's office a week later with the same proposal, only he had upped the bid to 4 million. The Pope gently declined, again. </p>
<p>The next week he came again and offered the Pope an offering of 10 million. </p>
<p>The Pope said, ""Let me think it over."" </p>
<p>The Pope then called a meeting with the elders of the church and said, ""Well gentlemen, I have good news and bad news. Kentucky Fried Chicken has generously offered us 10 million dollars to change the Lord's Prayer from 'daily bread' to 'daily chicken'. The bad new is that we will lose the Wonder Bread Contract.</p>
"
52038,"<p>This guy told this blonde that theres a quarter at the bottom of the pool so the blonde looks over the edge and sees her refletion and says someone got there before me!</p>
"
52039,"<p>New Words for the 90s</p>
<p>Blamestorming - Sitting around in a group discussing why a deadline was missed or a project failed, and who was responsible.</p>
<p>Chainsaw Consultant - An outside expert brought in to reduce the employee headcount, leaving the top brass with clean hands.</p>
<p>Percussive Maintenance - The fine art of whacking the crap out of an electronic device to get it to work again.</p>
<p>Uninstalled - Euphemism for being fired. Heard on the voicemail of a vice president at a downsizing computer firm: ""You have reached the number of an uninstalled vice president. Please dial our main number and ask the operator for assistance."" See also Decruitment.</p>
<p>SITCOMs - What yuppies turn into when they have children and one of them stops working to stay home with the kids. Stands for Single Income, Two Children, Oppressive Mortgage.</p>
<p>Starter Marriage - A short-lived first marriage that ends in a divorce with no kids, no property and no regrets.</p>
<p>Tourists - People who take training classes just to get a vacation from their jobs. ""We had three serious students in the class; the rest were just tourists.""</p>
<p>Alpha Geek - The most knowledgeable, technically proficient person in an office or work group. ""Ask Larry, he's the alpha geek around here.""</p>
<p>Dancing Baloney - Little animated GIFs and other Web F/X that are useless and serve simply to impress clients. ""This page is kinda dull. Maybe a little dancing baloney will help.""</p>
<p>Flight Risk - Used to describe employees who are suspected of planning to leave a company or department soon.</p>
<p>Generica - Features of the American landscape that are exactly the same no matter where one is. ""We were so lost in generica, I actually forgot what city we were in.""</p>
<p>Nyetscape - Nickname for AOL's less-than-full-featured Web browser.</p>
<p>PEBCAK - Tech support shorthand for ""Problem Exists Between Chair and Keyboard."" (Techies are a frustrated, often arrogant lot. They've submitted numerous acronyms and terms that poke fun at the clueless users who call them up with frighteningly stupid questions. Another variation on the above is ID10T: ""This guy has an ID-Ten-T on his system."")</p>
<p>Square-headed Girlfriend - Another word for a computer. The victim of a square-headed girlfriend is a ""computer widow.""</p>
"
52040,"<p>Benjamin Franklin</p>
"
52041,"<p>Un matrimonio est� a punto de irse a la cama, cuando el marido aparece con un vaso de agua y un par de pastillas blancas. La esposa, intrigada, le pregunta:</p>
<p>""Oye, �qu� es eso?""</p>
<p>""Apirinas, para ti"".</p>
<p>""�Pero, si no me duele la cabeza!""</p>
<p>""�Aj�!""</p>
"
52042,"<p>""Turn right ... no, turn left ... no, turn straight!""</p>
"
